sample_key,case_id,current_method,is_consistent,suggested_method,needs_new_category,proposed_new_category,reason
51,book1_r1\record_020.json,stem-and-leaf plot,1,stem-and-leaf plot,0,,该样本要求根据各州西班牙裔/拉丁裔人口比例数据创建双分茎叶图（double-split stemplot），answer 中也确实展示了茎叶图的结果。这与现有 taxonomy 中数据可视化类别下的'stem-and-leaf plot'完全吻合，该类别定义为'用茎叶图展示单变量分布及原始数值结构的问题，其核心是既保留原始数值信息又展示分布形态'，与本样本的问题类型一致。
84,book1_r1\record_046.json,事件发生概率及独立性,1,事件发生概率及独立性,0,,该题要求将一个概率百分比（95%）与其对应的概率含义描述进行匹配，本质上是理解和解释事件发生概率的大小及其含义。这属于概率解释与事件发生概率的范畴，归入'事件发生概率及独立性'是合理的。
114,book1_r1\record_065.json,分位数/百分位数,1,分位数/百分位数,0,,该样本要求根据给定的百分位（.35）找到对应的标准正态分布z值，即求z_{0.35}，这本质上是一个分位数/百分位数的计算问题——在标准正态分布的排序后相对位置中找到对应的分位点。answer中给出z_{.35}=-0.39，正是标准正态分布的第35百分位数。当前标签'分位数/百分位数'准确概括了该问题类型。
126,book1_r1\record_068.json,分散程度测度,1,分散程度测度,0,,该问题要求计算样本均值的标准差（即标准误），属于用单个指标概括数据离散程度的问题。虽然涉及σ/√n公式，但核心目标是求一个分散程度的描述性统计量，归入'分散程度测度'是合适的。
151,book1_r1\record_080.json,均值检验,1,均值检验,0,,该样本的问题是对总体均值进行双侧假设检验（H0: μ=69 vs Ha: μ≠69），使用已知总体标准差σ的单样本z检验来判断样本均值是否显著偏离总体均值。这完全符合'均值检验'的定义：'比较一个或多个总体均值是否等于某给定值或彼此相等的问题，包括单样本、双样本、配对t检验等'。当前标签一致。
180,book1_r1\record_095.json,stem-and-leaf plot,1,stem-and-leaf plot,0,,该样本的核心任务是将配对差值绘制为茎叶图（stemplot），并对其分布形态进行评论。answer中明确展示了茎叶图的结构，并从中读取了分布的集中趋势、离散程度和形态特征。这完全符合'stem-and-leaf plot'的定义——'用茎叶图展示单变量分布及原始数值结构的问题，其核心是既保留原始数值信息又展示分布形态'。当前标签一致。
210,book1_r1\record_108.json,回归系数显著性与方向解读,0,均值检验,0,,该样本是一个经典的双样本均值比较问题：比较echinacea组与placebo组的平均峰值症状严重程度是否存在显著差异，属于两独立样本t检验的范畴。answer中明确讨论的是H₀（两组均值无差异）的检验结果，结论是在α=0.10水平下无显著差异。这并非对回归模型系数的解读，而是假设检验与区间估计中的'均值检验'问题，应归类为'均值检验'。
211,book1_r1\record_109.json,数据可视化,0,离散型-连续型变量关系,0,,该样本要求用并排箱线图（side-by-side boxplots）展示两个组（treatment vs. placebo，离散型变量）在血压变化量（连续型变量）上的分布差异。这属于'数据可视化'一级类别下的'离散型-连续型变量关系'二级类别，而非笼统的一级类别'数据可视化'。当前标签仅标注到一级类别，应细化为二级类别'离散型-连续型变量关系'。
238,book1_r1\record_118.json,相关系数（一维）,1,相关系数（一维）,0,,该题要求判断关于相关系数r接近零时X与Y线性关系的陈述是否正确，核心涉及对Pearson相关系数含义的理解与解释，属于研究两个一维变量之间线性关联强度的问题，与'相关系数（一维）'类别一致。
272,book1_r1\record_139.json,均值检验,0,,1,假设检验与区间估计/比例检验,该样本计算的是两组的风险（比例）p1和p2，并对两个总体比例是否相等进行z检验（H0: p1=p2），这是典型的两样本比例检验（two-proportion z-test），而非均值检验。现有taxonomy中'均值检验'明确定义为比较总体均值是否等于某给定值或彼此相等，与比例检验在统计量构造、参数类型和适用场景上均不同。现有taxonomy的'假设检验与区间估计'类别下没有专门针对比例检验的二级类别，也没有其他现有二级类别能恰当覆盖此问题（'独立性检验'侧重变量独立性而非两比例差异的显著性检验），因此建议在'假设检验与区间估计'一级类别下新增'比例检验'二级类别，用于涵盖单样本比例检验、两样本比例检验等问题。
319,book1_r1\record_305.json,实验数据,1,实验数据,0,,MRFIT 是一项随机对照试验（RCT），受试者被随机分配到干预组和对照组，问题要求根据实验结果判断干预效果（心脏病死亡率的变化）。这属于'在随机化实验条件下估计处理效应'的问题，与'因果推断—实验数据'类别定义完全吻合，标签一致。
346,book1_r1\record_320.json,分位数/百分位数,1,分位数/百分位数,0,,该样本要求根据有序数据计算第一四分位数Q1、第三四分位数Q3及四分位距IQR，这正是'分位数/百分位数'类别的典型问题——计算数据在排序后相对位置的统计量。answer中的计算过程也完全吻合该类别定义，标注一致。
361,book1_r1\record_336.json,期望,1,期望,0,,该样本要求根据给定的概率质量函数计算均值（期望）和方差。虽然问题同时涉及方差计算，但核心任务是基于离散分布的pmf计算数学期望及其相关矩，属于'期望'类别的典型问题（离散分布下的期望计算）。方差本质上也是基于期望的二阶矩运算，因此'期望'标签是合理的。
405,book1_r1\record_365.json,事件发生概率及独立性,1,事件发生概率及独立性,0,,"该样本的核心任务是根据二项分布 B(10, 0.2) 计算在简单随机样本中观察到特定数量吸烟者的概率（如恰好1个吸烟者的概率为26.84%，恰好2个吸烟者的概率为30.20%等）。这属于在给定分布假设下计算事件发生概率的问题，与'事件发生概率及独立性'类别的定义一致。"
446,book1_r1\record_382.json,均值检验,1,均值检验,0,,该样本使用配对t检验（paired t-test）对oat bran数据的差值均值进行显著性检验，给定了nd=12、差值均值和标准差，判断在不同α水平下是否拒绝H0。这是典型的配对样本均值检验问题，与'均值检验'类别完全一致。
468,book1_r1\record_394.json,均值检验,1,均值检验,0,,该样本的背景明确说明是在pooled t检验的框架下计算自由度，计算两组各自的自由度以及合并自由度是双样本t检验（均值检验）过程中的关键步骤。虽然单独看问题只是计算自由度，但其上下文和目的完全服务于均值检验，因此标注为'均值检验'是一致的。
