original_background,original_question,rewritten_background,rewritten_question
The prevalence of a trait is 76.8%.,How many would you expect to see with this characteristic in a simple random sample of $n=10$?,We’re working with a population in which 76.8% of individuals have a particular trait.,"If we take a simple random sample of n=10, how many would we expect to see with this characteristic?"
"A 1970s case-control study on cerebrovascular disease (stroke) and oral contraceptive use in young women matched cases to controls according to neighborhood, age, sex, and race. Table 18.26 displays data from this study for thrombotic stroke.","Suppose the match was broken and investigators analyzed the data as if derived from independent samples. Rearrange the information in Table 18.26 to show how it would appear in a 2-by-2 table of unmatched counts. Because the matched-pair table (Table 18.26) includes 106 pairs, your new table should total 212 individuals. Calculate the odds ratio for the data with the match broken. How does this compare to that of the (proper) matched-pair odds ratio?","We conducted a 1970s case–control study on cerebrovascular disease (stroke) and oral contraceptive use in young women. For each woman who had a thrombotic stroke, we matched a control from the same neighborhood with the same age, sex, and race. Table 18.26 summarizes the thrombotic stroke data from this matched design.","For a what-if check, we’d like to see what happens if we ignore the matching and treat the data as if the two groups were independent. Could you reorganize the counts from Table 18.26 into a simple 2-by-2 table of unmatched totals that adds up to 212 individuals (since there are 106 pairs)? Then, please calculate the odds ratio under this unmatched approach and tell us how it compares with the odds ratio that uses the matching correctly."
Table 14.5 lists data from a cross-sectional survey of bicycle safety. The explanatory variable is a measure of neighborhood socioeconomic status (variable P_RFM). The response variable is helmet use.,Discuss the impact of the potential outlier on the correlation.,Table 14.5 lists data from a cross-sectional survey of bicycle safety. The explanatory variable is a measure of neighborhood socioeconomic status (variable P_RFM). The response variable is helmet use.,"Looking at Table 14.5, how might a potential outlier be influencing the apparent correlation between P_RFM and helmet use? Please describe how the strength and direction of the correlation (i.e., the strength and direction of the relationship) change when we include versus exclude this point, and what we should keep in mind as we interpret the correlation."
Body weights of 18 diabetics expressed as a percentage of ideal (defined as body weight ÷ ideal body weight × 100) are shown here.,Construct a stem-and-leaf plot of these data and interpret your findings.,"We are tracking the body weights of 18 diabetics, recorded as a percentage of ideal (defined as $\frac{\text{body weight}}{\text{ideal body weight}} \times 100$). The values are shown here.","We would like you to organize these percentages into a compact, easy-to-read display that preserves the exact individual values while showing the overall pattern, and then explain what it suggests about where most patients fall relative to ideal weight, how much variability there is, and whether there are any unusual cases."
"A sample of 49 sudden infant death syndrome (SIDS) cases had a mean birth weight of 2998 grams. Based on other births in the county, we will assume σ=800 grams.",Calculate the 95% confidence interval for the mean birth weight of SIDS cases in the county.,"We reviewed records for 49 sudden infant death syndrome (SIDS) cases in the county. The average birth weight in this group is 2998 grams. From other births in the county, we believe the typical spread in birth weights is 800 grams.","Using this information, can you give us a 95% range that likely contains the true average birth weight of SIDS cases in the county?"
We have established that the body weights of 20-29-year-old U.S. males have σ=40 pounds.,What size sample is needed to estimate μ with margin of error plus or minus 5 pounds?,"We’re planning a study on the body weights of 20–29-year-old U.S. males. From earlier data, we believe the typical spread in weights around the average is about 40 pounds. We want to design our data collection so that our final estimate is suitably precise.",How many people should we include in our sample so that our estimate of the average weight is within plus or minus 5 pounds of the true average?
"As a pilot investigation for a survey of California county health departments, you want to select four counties at random from the list of counties in Table 2.1.",Use the table of random digits (Table A) starting in row 33 to select your simple random sample.,We are conducting a pilot investigation for a survey of California county health departments and want to select four counties at random from the list of counties in Table 2.1.,"Using the table of random digits (Table A), starting in row 33, please select our simple random sample of four counties from the list in Table 2.1 and show your selection steps."
"Yay-Sachs is a metabolic disorder that is inherited as an autosomal recessive trait. Both recessive alleles are necessary for expression of the disease. Therefore, when each parent is a carrier, there is a one in four chance of transmitting the genetic disorder to each offspring.",A carrier couple is unaware of their carrier state. Let X represent the number of children conceived before an affected offspring is encountered. Is X is a binomial random variable? Explain.,"We are a genetic counseling team working with families affected by Yay-Sachs, a metabolic disorder. This condition is passed down only when a child receives the nonworking version from both parents. When each parent is a carrier, there is a one in four chance that any given child will be affected.","We are advising a carrier couple who are unaware of their carrier state. Let X represent the number of children conceived before an affected offspring is encountered. For planning and analysis, should we treat X as a count based on a fixed number of children, or is this better thought of as “how long until the first affected child appears”? Please explain your reasoning in plain terms."
"The National Health and Nutrition Examination Survey (NHANES) assesses the health and nutritional status of adults and children in the United States using data from interviews and direct physical examinations. From 1999-2002, 712 men between the ages of 20 and 29 were examined. The mean body weight in this sample ( $\bar{x}$ ) was 183.0 pounds.","What is the margin of error associated with this estimate for $95 \%$ confidence, and what is the $95 \%$ confidence interval for $\mu$?","We are working with data from the National Health and Nutrition Examination Survey (NHANES), which evaluates the health and nutritional status of adults and children in the United States using interviews and direct physical exams. From 1999–2002, 712 men between the ages of 20 and 29 were examined. In our sample, the average body weight was 183.0 pounds. We want to report this estimate to a general audience and clearly communicate how precise it is.","Using the common 95% standard that audiences expect, how much “plus/minus” should we report around the 183.0-pound average, and what 95% range of plausible values should we present for the true average weight of U.S. men aged 20–29?"
"Chapter 17 considered results from the estrogen trial of the Women's Health Initiative study. The incidence of the combined morbidity index in the treatment group was 751 per 8506 (8.83%). The incidence in the control group was 623 of 8102 (7.69%). The test of H0: p1=p2 yielded z_stat=2.66, P=0.0078 (two sided). We propose to test the same information with a chi-square statistic.",Hypotheses. H0 : no association in source population is equivalent to H0: p1=p2. Ha : association in source population is equivalent to Ha: p1 ≠ p2.,"We are analyzing results from Chapter 17's discussion of the estrogen trial of the Women's Health Initiative study. In the estrogen (treatment) group, 751 of 8506 participants experienced the combined morbidity outcome (8.83%). In the control group, 623 of 8102 did (7.69%). A previous analysis of this comparison gave a two-sided P=0.0078 with a z-statistic of 2.66. We would like to re-check the same comparison using a chi-square test that works directly with the event counts in the two groups.","Hypotheses: We will test whether there is an association between treatment and the combined morbidity outcome in the source population using a chi-square statistic on the two groups' event counts. Null: no association in the source population, $H_0: p_1 = p_2$. Alternative: an association in the source population, $H_a: p_1 \ne p_2$."
