sample_key,case_id,current_method,is_consistent,suggested_method,needs_new_category,proposed_new_category,reason
51,book1_r1\record_020.json,stem-and-leaf plot,1,stem-and-leaf plot,0,,题目要求“create a stemplot using double-split stem values”，核心任务是构造茎叶图来展示单变量（各州 Hispanic/Latino 百分比）的分布形态，并保留原始数值结构。给定 answer 也确实是在组织茎、叶并使用 split stem/double-split stem 的形式作图。这与 taxonomy 中“数据可视化”下的二级类别“stem-and-leaf plot”完全一致，不需要改到其他现有类别，也不需要新增类别。
84,book1_r1\record_046.json,事件发生概率及独立性,0,,1,数学计算->概率概念与表述,该题的核心不是根据概率规则计算事件概率，也不是判断独立性，而是把给定的概率数值（95%）与其文字叙述含义进行对应，属于对概率大小的基本概念解释与表述。现有 taxonomy 中“事件发生概率及独立性”更适用于条件概率、全概率、贝叶斯公式、独立性判断等计算或推断问题，不能准确概括这种‘概率数值—语言描述匹配’任务。因此应新增更合适的二级类别，如“概率概念与表述”。
114,book1_r1\record_065.json,分位数/百分位数,0,,1,数学计算->指定分布分位点/临界值计算,题目要求的是求标准正态分布的第 35 个百分位对应的 z 值，即已知概率反求给定理论分布的分位点（逆CDF/查 z 表）。这不是基于样本数据排序后计算描述性统计量中的分位数/百分位数，而是对指定概率分布进行分位点查询。现有 taxonomy 中没有比“分位数/百分位数”更贴切的现成二级类别，因此应新增“指定分布分位点/临界值计算”这一二级类别，放在“数学计算”下更合适。
126,book1_r1\record_068.json,分散程度测度,0,,1,数学计算-抽样分布的标准误,题目并不是对一组已观测数据做描述性统计中的离散程度概括，也不是计算样本标准差或总体标准差；它是在已知总体标准差σ和样本量n的条件下，求样本均值x̄的标准差，即标准误σ/√n。这属于抽样分布层面的数学计算问题。现有taxonomy中“分散程度测度”更适用于直接描述数据本身的离散程度，而不是求统计量（样本均值）的抽样分布标准差。现有“期望”“事件发生概率及独立性”“达到指定概率所需的最小样本量”等类别也都不能准确覆盖该问题，因此需要新增二级类别。
151,book1_r1\record_080.json,均值检验,1,均值检验,0,,该题的核心任务是对总体均值进行双侧假设检验：检验学生样本对应的总体平均身高是否等于 69 英寸。答案中明确给出原假设与备择假设、基于已知总体标准差的 z 统计量、双侧 P 值以及显著性结论，属于典型的单样本均值检验问题。因此现有标签“均值检验”与样本问题类型一致，无需改动或新增类别。
180,book1_r1\record_095.json,stem-and-leaf plot,1,stem-and-leaf plot,0,,题目要求是“Plot the differences as a stemplot. Comment on the results.”，核心任务是用茎叶图展示单变量（配对差值）的分布，并据图进行描述。answer 也确实先构造了差值的 stemplot，再基于图形评论分布形态、范围、中位数和是否存在异常值。虽然评论中涉及少量描述性统计内容，但主要问题类型仍是统计图形展示，且最贴切的现有二级类别就是“stem-and-leaf plot”，无需改到其它类别，也不需要新增类别。
210,book1_r1\record_108.json,回归系数显著性与方向解读,0,均值检验,0,,该样本的核心任务是比较两组（echinacea 与 placebo）在症状严重程度均值上是否存在显著差异，answer 也明确表述为“证据不足以拒绝 H0，因此两组均值无显著差异”，这属于典型的两独立样本均值检验问题。它不是在已有回归模型基础上解释回归系数的显著性、方向或效应，因此当前标签“回归系数显著性与方向解读”不一致。现有 taxonomy 中“假设检验与区间估计-均值检验”可以准确概括该问题，无需新增类别。
211,book1_r1\record_109.json,数据可视化,0,离散型-连续型变量关系,0,,题目要求用 side-by-side boxplots 比较两组（treatment/placebo，离散型分组变量）中的 blood pressure changes（DELTA，连续型变量）分布差异，核心是展示连续变量在不同类别水平下的分布、中心和离散程度差异。现有 taxonomy 中“数据可视化”一级标签过于宽泛，已有更合适的二级类别“离散型-连续型变量关系”可直接概括该任务，因此当前标签不一致，应细化到该类别。
238,book1_r1\record_118.json,相关系数（一维）,1,相关系数（一维）,0,,题目考查的是对相关系数 r 的含义进行判断：r 接近 0 表示 X 与 Y 几乎没有线性相关关系。这属于对两个一维变量相关系数的解释与性质判断，核心问题就是‘相关系数（一维）’，不涉及假设检验、模型解读或新增类别。
272,book1_r1\record_139.json,均值检验,0,独立性检验,0,,该题的核心问题是比较两组中‘是否发生致死性心梗’这一二分类结局的风险是否存在显著差异，本质上可表示为一个 2×2 列联表（治疗组/安慰剂组 × 事件发生/未发生），检验两变量是否独立，或等价地检验两组比例是否相等。现有 answer 计算的是两组样本风险（比例）并进行了两比例 z 检验，这比‘均值检验’更适合归入现有 taxonomy 中的‘独立性检验’。虽然 taxonomy 没有单列‘比例检验’，但在现有类别中‘独立性检验’明显比‘均值检验’更贴切，因此应改到该类别。
319,book1_r1\record_305.json,实验数据,1,实验数据,0,,题目背景明确说明研究对象被随机分配到治疗组和对照组，核心是在随机实验条件下总结干预项目的结果，属于基于实验数据评估处理效果的因果推断问题。answer虽然只是口头概述“两个组的心脏病死亡率都显著下降”，未展开具体检验过程，但问题类型本质仍是RCT结果解读，而不是单纯描述统计或均值检验。因此现有“因果推断-实验数据”标签是合适的。
346,book1_r1\record_320.json,分位数/百分位数,1,分位数/百分位数,0,,题目核心是在有序数据上计算 Q1 和 Q3，这两者属于典型的分位数统计量；IQR 也是由四分位数直接导出的区间差。虽然 IQR 也可视为离散程度测度，但本题主要任务是确定四分位位置并据此计算，因此现有标签“分位数/百分位数”比“分散程度测度”更贴切，无需调整或新增类别。
361,book1_r1\record_336.json,期望,0,,1,数学计算-概率分布的数字特征（均值/方差）,该样本要解决的是“根据离散型 pmf 计算均值和方差”这一类分布数字特征问题，而不只是单独计算期望。当前标签“期望”只能覆盖均值部分，不能完整概括题目中的方差计算目标。现有 taxonomy 中“集中趋势测度”“分散程度测度”更偏向对样本数据做描述性统计，不如本题这种基于已知概率分布（pmf）直接计算理论均值与方差的问题贴切；因此现有二级类别中没有一个能完整且准确概括该样本，建议在“数学计算”下新增“概率分布的数字特征（均值/方差）”这一二级类别。
405,book1_r1\record_365.json,事件发生概率及独立性,1,事件发生概率及独立性,0,,"该样本的核心任务是：在已知二项分布 X~Bin(10,0.2) 下，计算样本中恰有1个吸烟者、2个吸烟者等事件的概率（如26.84%、30.20%）。这属于基于给定分布求事件发生概率的问题，正对应“事件发生概率及独立性”。题目并非在求期望、样本量、参数估计或描述性统计量，因此当前标签一致。"
446,book1_r1\record_382.json,均值检验,1,均值检验,0,,题目基于差值样本的统计量 n_d、x̄_d、s_d 判断在给定显著性水平下是否拒绝 H0，本质上是在检验差值总体均值是否为 0，即配对样本 t 检验/单样本均值检验范畴。问题核心是总体均值的假设检验，而不是模型比较、独立性检验或方差分析，因此当前标签“均值检验”一致。
468,book1_r1\record_394.json,均值检验,1,均值检验,0,,题目围绕 pooled t procedures，要求计算两组样本及合并后的自由度，这是双样本合并方差 t 检验中的组成部分。虽然答案本身只是做自由度的公式计算，还未实施完整检验，但其问题类型明确属于均值比较检验的准备/组成步骤，而现有 taxonomy 中没有比“均值检验”更细且更合适的现成二级类别。
469,book1_r1\record_394.json,均值检验,0,分散程度测度,0,,题目要求是根据两组样本量和样本标准差计算 pooled variance，本质上是在计算一个方差/离散程度指标，而不是进行均值差异的显著性检验。虽然 pooled variance 常用于 pooled t procedures 的前置步骤，但当前样本并未要求提出或检验均值假设、计算 t 统计量或 p 值，因此不应标为“均值检验”。在现有 taxonomy 中，更合适的类别是“描述性统计量-分散程度测度”，因为答案直接是在求一个方差形式的统计量。
473,book1_r1\record_395.json,达到指定概率所需的最小样本量,0,,1,假设检验与区间估计/样本量计算（区间估计精度）,该题的核心任务是：为两个总体均值差的区间估计在给定置信水平（95%）和给定误差限（margin of error 不超过 0.25）下反推每组所需样本量。这不是以‘至少发生一次事件的概率’或‘达到某成功概率’为目标的样本量问题，而是典型的‘基于置信区间精度要求的样本量设计’。现有 taxonomy 中的“达到指定概率所需的最小样本量”更适合概括覆盖概率、检测概率、至少一次发生概率等问题，不能准确覆盖本题这种围绕估计精度（置信区间半宽）进行的样本量计算。因此应新增更贴切的二级类别，如“样本量计算（区间估计精度）”。
522,book1_r1\record_419.json,假设检验与区间估计,0,,1,假设检验与区间估计-置信区间,该样本的问题核心不是进行假设检验，而是从程序输出中读取并解释二项比例在不同方法（Mid-P、Fisher、Wilson）下的95%置信区间，属于典型的区间估计任务。现有一级类“假设检验与区间估计”虽然方向接近，但其二级类别仅有独立性检验、均值检验、方差分析、似然比检验、随机性，均是检验类，没有能准确概括‘置信区间构造/读取/比较’的问题。因此应在该一级类下新增二级类别“置信区间”。
548,book1_r1\record_437.json,观测数据,1,观测数据,0,,样本明确说明这是一个 case-control sample（按结局是否发生心肌梗死来抽取病例与对照），核心问题是在非随机、观察性数据中研究男性型脱发与心肌梗死之间的关系，属于观测数据下的因果/效应关联研究场景。虽然题干未给出具体 answer，但从问题类型看，不是描述统计、可视化、假设检验或列联表整理本身，而是基于观察性研究设计考察暴露-结局关系，因此与“因果推断-观测数据”一致。
