sample_key,case_id,current_method,is_consistent,suggested_method,needs_new_category,proposed_new_category,reason
51,book1_r1\record_020.json,stem-and-leaf plot,1,stem-and-leaf plot,0,,样本要求根据给定的数据绘制茎叶图（stemplot），这完全符合现有分类体系中“数据可视化”下的“stem-and-leaf plot”类别的定义，即“用茎叶图展示单变量分布及原始数值结构的问题”。
84,book1_r1\record_046.json,事件发生概率及独立性,0,,1,概率基本概念与解释,该样本要求将概率数值（95%）与其文字解释（几乎总是发生）进行匹配，属于对概率基本概念和实际意义的理解与解释。现有标签“事件发生概率及独立性”侧重于根据规则或分布“计算”概率及判断独立性，不适用于此类纯概念理解题。现有分类体系中缺乏涵盖概率基本概念与解释的类别，因此建议在“数学计算”下新增“概率基本概念与解释”二级类别（或新增专门的“统计与概率基本概念”一级类别）。
114,book1_r1\record_065.json,分位数/百分位数,1,分位数/百分位数,0,,样本要求计算标准正态分布的第35百分位数（z分位数），属于计算理论分布的阈值分位点，完全符合“分位数/百分位数”类别中“阈值分位点”的定义。
126,book1_r1\record_068.json,分散程度测度,0,,1,方差与标准差,当前样本要求基于总体标准差计算样本均值的理论标准差（即标准误），属于概率论与数理统计中的理论计算，而非对实际数据集进行概括的“描述性统计量”。现有“数学计算”大类中仅有“期望”，缺乏对随机变量或抽样分布的方差/标准差进行理论计算的类别，因此建议在“数学计算”下新增“方差与标准差”类别。
151,book1_r1\record_080.json,均值检验,1,均值检验,0,,样本要求进行双侧假设检验以判断样本均值是否显著不同于给定的总体均值（69英寸），解答中使用了单样本Z检验来检验均值差异，这完全符合现有分类中“均值检验”的定义（比较一个或多个总体均值是否等于某给定值）。
180,book1_r1\record_095.json,stem-and-leaf plot,1,stem-and-leaf plot,0,,样本问题明确要求绘制茎叶图（stemplot）并对结果进行评论，解答中给出了具体的茎叶图，并基于该图展示了数据的原始数值结构和分布形态（如中位数、极差、分布形状等），完全符合现有分类中“stem-and-leaf plot”的定义。
210,book1_r1\record_108.json,回归系数显著性与方向解读,0,均值检验,0,,样本比较了两个独立样本（echinacea组和placebo组）的症状严重程度均值差异，并基于假设检验得出了均值差异不显著的结论。这属于典型的双样本均值检验问题，并未涉及回归模型的建立与系数解读。因此应归入‘假设检验与区间估计’下的‘均值检验’类别。
211,book1_r1\record_109.json,数据可视化,0,离散型-连续型变量关系,0,,样本要求使用并排箱线图（side-by-side boxplots）展示两组（离散型变量：治疗组与对照组）在血压变化（连续型变量）上的分布差异。这完全符合现有分类体系中更具体的二级类别“离散型-连续型变量关系”（展示连续变量在不同类别水平下分布差异或中心差异的问题，形式包括分组箱线图等），原标签仅停留在了一级类别，不够准确。
238,book1_r1\record_118.json,相关系数（一维）,1,相关系数（一维）,0,,样本问题涉及相关系数（r）与变量之间线性关系的判断，属于研究两个一维变量之间线性关联强度的概念问题，与现有标签‘相关系数（一维）’的定义完全一致。
272,book1_r1\record_139.json,均值检验,0,,1,比例检验,样本计算了两个组的事件发生比例，并使用 z 检验对两个比例的差异进行假设检验（$H_0: p_1=p_2$）。当前标签“均值检验”专门用于均值的比较（如 t 检验），不适用于比例数据。现有分类的“假设检验与区间估计”中缺乏针对比例的检验类别。虽然双样本比例检验在数学上与卡方独立性检验等价，但本题明确使用的是比例差的 z 检验，且单样本比例检验也无法归入独立性检验，因此建议在“假设检验与区间估计”下新增“比例检验”类别。
319,book1_r1\record_305.json,实验数据,1,实验数据,0,,样本背景明确指出研究对象被随机分配到治疗组或对照组（随机对照试验 RCT），问题询问该实验的结果，答案给出了两组的死亡率变化情况。这完全符合“因果推断”下“实验数据”类别中关于“在随机化实验条件下估计处理效应或评估实验结果”的定义。
