sample_key,case_id,suggested_method,proposed_new_category,reason
38,book1_r1\record_011.json,实验设计\实验(抽样)方案设计,,该问题要求使用随机数字表从5个城市中随机选择2个作为处理组城市，这是一个典型的简单随机抽样/随机分配的实验设计问题。具体来说，它涉及利用随机数表执行随机化分组方案，属于实验(抽样)方案设计的范畴。
43,book1_r1\record_015.json,数据可视化\stem-and-leaf plot,,题目明确要求对给定的连续型数据制作stemplot（茎叶图），这与数据可视化分类下的'stem-and-leaf plot'二级类目完全对应。该类目的定义正是'用茎叶图展示单变量分布及原始数值结构的问题，其核心是既保留原始数值信息又展示分布形态'，与本题要求一致。
48,book1_r1\record_016.json,数据可视化\stem-and-leaf plot,,题目明确要求绘制 back-to-back stemplots（背靠背茎叶图），这是茎叶图的一种标准变体，用于在共同茎上比较两组数据的分布。现有 taxonomy 中'数据可视化'部分有专门的'stem-and-leaf plot'二级类目，其定义为'用茎叶图展示单变量分布及原始数值结构的问题，核心是既保留原始数值信息又展示分布形态'，与本题完全吻合。虽然题目还要求比较 locations 和 spreads，但这属于基于茎叶图的直观描述，核心任务仍是绘制茎叶图。
49,book1_r1\record_016.json,数据可视化\stem-and-leaf plot,,题目明确要求绘制 back-to-back stemplots（背靠背茎叶图）来展示两组数据的分布，并比较其位置和离散程度。这正好对应数据可视化类目中的 'stem-and-leaf plot'，该类目定义为'用茎叶图展示单变量分布及原始数值结构的问题，既保留原始数值信息又展示分布形态'，back-to-back stemplot 是茎叶图的经典变体，完全属于该类目。
50,book1_r1\record_017.json,数据预处理\分箱,,该问题的核心操作是将连续变量（住院天数）按等宽5天的区间划分为若干组，并在每组内统计频数、相对频率与累积频率。这正是'分箱'定义中'将连续变量划分为若干区间并转成区间类别的问题'的典型体现，属于等宽分箱（equal-width binning）。虽然'分箱'被归在数据预处理下，但该问题所用的统计方法本质上就是等宽分箱，频数、相对频率和累积频率均是分箱后的自然汇总结果。
54,book1_r1\record_018.json,数据可视化\stem-and-leaf plot,,题目明确要求构建茎叶图(stem-and-leaf plot)来展示数据分布，这与数据可视化类目下的'stem-and-leaf plot'二级类目完全吻合。该类目的定义为'用茎叶图展示单变量分布及原始数值结构的问题，其核心是既保留原始数值信息又展示分布形态'，与本题要求完全一致。
60,book1_r1\record_020.json,数据可视化\stem-and-leaf plot,,题目明确要求创建 stemplot（茎叶图），使用单茎值和 ×10 的轴乘数来展示各州西班牙裔/拉丁裔居民百分比的分布。这与数据可视化类目下的 'stem-and-leaf plot' 完全吻合，该类目定义为'用茎叶图展示单变量分布及原始数值结构的问题，其核心是既保留原始数值信息又展示分布形态'。
61,book1_r1\record_020.json,数据可视化\stem-and-leaf plot,,题目明确要求使用 double-split stem values 创建 stemplot（茎叶图），这正好对应数据可视化类别下的 'stem-and-leaf plot' 二级类目，该类目定义为'用茎叶图展示单变量分布及原始数值结构的问题，其核心是既保留原始数值信息又展示分布形态'，与本题完全吻合。
89,book1_r1\record_041.json,描述性统计量\集中趋势测度,,该问题要求计算均值和中位数，这两者都是集中趋势测度。虽然问题还涉及通过比较均值与中位数来判断分布形态（偏态），但其核心任务是计算和解读集中趋势统计量，因此最合适的二级类目是'集中趋势测度'。
90,book1_r1\record_041.json,描述性统计量\分位数/百分位数,,五数概括（five-point summary）由最小值、第一四分位数（Q1）、中位数（Q2）、第三四分位数（Q3）和最大值组成，其核心在于计算数据在排序后的相对位置，即分位数/百分位数的计算。虽然最小值和最大值也涉及分布范围测度，但五数概括的主体和目的是通过分位数来概括数据分布，因此最贴切的二级类目是'分位数/百分位数'。
